,0
164000,0.7895768
122267,0.901906
44219,0.76531005
123862,0.7682421
118508,0.82707286
165916,0.75651777
15135,0.71907806
134996,0.6803167
166459,0.59351563
11921,0.816025
72429,0.5854095
195086,0.7079302
136895,0.61869043
147404,0.8855109
104832,0.68396485
157961,0.6369278
15352,0.8289044
258696,0.6783996
183571,0.7520802
212131,0.8567527
257771,0.7050655
58630,0.5620952
121310,0.716388
247205,0.47697192
128509,0.8989108
258557,0.7627118
50431,0.4703957
214289,0.87244016
171895,0.92689854
230098,0.5471595
8902,0.62755245
70245,0.88854533
120919,0.6700175
128556,0.7472926
216254,0.6764726
87443,0.80521095
146003,0.86981064
6891,0.6778945
104161,0.87555623
172907,0.80948687
144520,0.41126257
968,0.9449579
217014,0.7221685
38185,0.69237053
242699,0.82694274
1062,0.79953253
125600,0.81361276
90832,0.7021268
45047,0.90336466
60015,0.4314263
97765,0.7791527
215121,0.7634694
129743,0.6225047
211575,0.75265074
79842,0.70440084
206493,0.6086635
80030,0.7004925
251433,0.86695695
66424,0.89396137
67705,0.7600995
30099,0.8566126
207415,0.9066098
158847,0.76061416
3027,0.88176185
33272,0.7027066
212776,0.7077532
72518,0.71105534
253797,0.58244747
163391,0.66228825
76284,0.72865564
138320,0.79883164
20625,0.87521124
93663,0.7765749
76746,0.8652358
77542,0.5949523
212509,0.8993759
24866,0.8367894
174523,0.85658354
222617,0.8472635
52135,0.6421853
235891,0.4902566
24425,0.55349636
139199,0.5093399
101193,0.8622624
152824,0.78982437
82627,0.8483679
86750,0.51278573
79346,0.7166818
234175,0.9296682
201959,0.78921044
193994,0.71662605
206618,0.84330773
240500,0.85697544
26787,0.7621692
82911,0.56637925
99486,0.7932921
239132,0.71436405
203715,0.8403495
196625,0.8518105
188655,0.9336263
19841,0.65452796
130454,0.8761907
127559,0.9133113
210693,0.7413058
178466,0.75841665
56326,0.6055377
47610,0.7068018
204282,0.80629265
237632,0.6901435
60865,0.9054096
144022,0.8248468
176027,0.54044926
104907,0.89682454
28383,0.62972856
226575,0.71789145
106036,0.67992055
198499,0.491108
19869,0.5750927
60987,0.75541085
106662,0.9067609
188100,0.8900903
110479,0.7311699
206939,0.845834
156079,0.77782595
87848,0.73027605
122653,0.678952
89191,0.6671978
106966,0.66008043
238176,0.6054903
31018,0.8868008
164969,0.91164607
82054,0.76188636
13620,0.68745816
150786,0.63198924
212555,0.77134377
245323,0.8377111
2763,0.8221188
174396,0.7912407
38131,0.8962285
228629,0.56352526
3487,0.8953283
202408,0.897145
170014,0.41926286
897,0.8231641
205334,0.7244773
178188,0.87944186
140997,0.762137
27101,0.7361787
34011,0.7849695
123974,0.665633
157156,0.8118511
158089,0.64843184
100224,0.76103866
218837,0.74796087
136798,0.8835162
179814,0.8583442
138019,0.83837897
863,0.80770123
148117,0.71276253
115099,0.7089471
826,0.8405819
110247,0.42010248
195503,0.64464843
19042,0.5478739
53470,0.8681932
2962,0.84269965
251163,0.8744574
231304,0.6692533
208719,0.65960133
58208,0.7468352
25371,0.93218607
245206,0.6327554
183700,0.8830806
177183,0.58270735
9753,0.8385492
8432,0.72764343
68850,0.6608276
